"blueprint","item_name","category","tier","slot","resource","property","propertyName","rangeIndex","startQuality","endQuality","atStart","atEnd","mode"
"BP_CRAFT_AMRS_LaserCannon_S1","Omnisky III Cannon","VehicleWeaponsS1","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_AMRS_LaserCannon_S2","Omnisky VI Cannon","VehicleWeaponsS2","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_AMRS_LaserCannon_S3","Omnisky IX Cannon","VehicleWeaponsS3","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_AMRS_LaserCannon_S4","Omnisky XII Cannon","VehicleWeaponsS4","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_AMRS_LaserCannon_S5","Omnisky XV Cannon","VehicleWeaponsS5","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_AMRS_LaserCannon_S6","Omnisky XVIII Cannon","VehicleWeaponsS6","0","Frame","Agricium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_AMRS_ScatterGun_S3","PyroBurst Scattergun","VehicleWeaponsS3","0","Electronics","Gold","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_AMRS_ScatterGun_S3","PyroBurst Scattergun","VehicleWeaponsS3","0","Frame","Titanium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_AMRS_ScatterGun_S3","PyroBurst Scattergun","VehicleWeaponsS3","0","Torque Junction","Savrilium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticGatling_S4","Revenant Gatling","VehicleWeaponsS4","0","Barrels","Tungsten","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticGatling_S4","Revenant Gatling","VehicleWeaponsS4","0","Drive Motor","Ouratite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticGatling_S4","Revenant Gatling","VehicleWeaponsS4","0","Frame","Iron","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_APAR_BallisticGatling_S6","Draugar Gatling","VehicleWeaponsS6","0","Barrels","Tungsten","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticGatling_S6","Draugar Gatling","VehicleWeaponsS6","0","Drive Motor","Ouratite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticGatling_S6","Draugar Gatling","VehicleWeaponsS6","0","Frame","Iron","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S1","Havoc Scattergun","VehicleWeaponsS1","0","Anchor Pins","Stileron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S1","Havoc Scattergun","VehicleWeaponsS1","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S1","Havoc Scattergun","VehicleWeaponsS1","0","Frame","Torite","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S2","Hellion Scattergun","VehicleWeaponsS2","0","Anchor Pins","Stileron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S2","Hellion Scattergun","VehicleWeaponsS2","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S2","Hellion Scattergun","VehicleWeaponsS2","0","Frame","Torite","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S3","Predator Scattergun","VehicleWeaponsS3","0","Anchor Pins","Stileron","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S3","Predator Scattergun","VehicleWeaponsS3","0","Barrel","Titanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_APAR_BallisticScatterGun_S3","Predator Scattergun","VehicleWeaponsS3","0","Frame","Torite","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_APAR_MassDriver_S2","Strife Mass Driver Cannon","VehicleWeaponsS2","0","Frame","Titanium","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_APAR_MassDriver_S2","Strife Mass Driver Cannon","VehicleWeaponsS2","0","Wiring","Copper","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_ASAD_DistortionRepeater_S1","DR Model-XJ1 Repeater","VehicleWeaponsS1","0","Radiator","Torite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_ASAD_DistortionRepeater_S1","DR Model-XJ1 Repeater","VehicleWeaponsS1","0","Reinforced Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_ASAD_DistortionRepeater_S2","DR Model-XJ2 Repeater","VehicleWeaponsS2","0","Radiator","Torite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_ASAD_DistortionRepeater_S2","DR Model-XJ2 Repeater","VehicleWeaponsS2","0","Reinforced Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_ASAD_DistortionRepeater_S3","DR Model-XJ3 Repeater","VehicleWeaponsS3","0","Radiator","Torite","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
"BP_CRAFT_ASAD_DistortionRepeater_S3","DR Model-XJ3 Repeater","VehicleWeaponsS3","0","Reinforced Frame","Tungsten","GPP_Health_MaxHealth","Integrity","0","0","1000","0.9","1.1","multiplier"
"BP_CRAFT_BANU_TachyonCannon_S1","Singe Cannon (S1)","VehicleWeaponsS1","0","Acceleration Unit","Quantanium","GPP_Weapon_Damage","Impact Force","0","0","1000","0.95","1.05","multiplier"
